[2016-01-04 11:18:41,487][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:19:11,479][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:19:41,486][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:19:41,494][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:20:11,488][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:20:41,490][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:20:41,498][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:21:11,491][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:21:41,495][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:22:11,495][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:22:11,495][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:22:41,498][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:23:11,500][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:23:11,508][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:23:41,506][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:24:11,508][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:24:11,516][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:24:41,513][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:25:11,523][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:25:11,523][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:25:41,522][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:26:11,529][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:26:11,529][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:26:41,532][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:27:11,535][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:27:11,535][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:27:41,537][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:28:11,541][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:28:11,541][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:28:41,549][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:29:11,552][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:29:11,553][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:29:41,558][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
